Name,Label,Short_name1,Short_name2,Short_name3,Concept
DP02_0001PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households,HOUSEHOLDS BY TYPE!!Total households,Total households,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0002PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families),HOUSEHOLDS BY TYPE!!Total households!!Family households (families),Family households (families),,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0003PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years,HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years,Family households (families)!!With own children of the householder under 18 years,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0004PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family,HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family,Family households (families)!!Married-couple family,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0005PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years,HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years,Family households (families)!!Married-couple family!!With own children of the householder under 18 years,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0006PE,"Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","Family households (families)!!Male householder, no wife present, family",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0007PE,"Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0008PE,"Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","Family households (families)!!Female householder, no husband present, family",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0009PE,"Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years","Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0010PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,Nonfamily households,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0011PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,Nonfamily households!!Householder living alone,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0012PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,Nonfamily households!!Householder living alone!!65 years and over,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0013PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,Households with one or more people under 18 years,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0014PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,Households with one or more people 65 years and over,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0015PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,HOUSEHOLDS BY TYPE!!Total households!!Average household size,Average household size,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0016PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,HOUSEHOLDS BY TYPE!!Total households!!Average family size,Average family size,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0017PE,Percent Estimate!!RELATIONSHIP!!Population in households,RELATIONSHIP!!Population in households,Population in households,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0018PE,Percent Estimate!!RELATIONSHIP!!Population in households!!Householder,RELATIONSHIP!!Population in households!!Householder,Population in households!!Householder,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0019PE,Percent Estimate!!RELATIONSHIP!!Population in households!!Spouse,RELATIONSHIP!!Population in households!!Spouse,Population in households!!Spouse,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0020PE,Percent Estimate!!RELATIONSHIP!!Population in households!!Child,RELATIONSHIP!!Population in households!!Child,Population in households!!Child,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0021PE,Percent Estimate!!RELATIONSHIP!!Population in households!!Other relatives,RELATIONSHIP!!Population in households!!Other relatives,Population in households!!Other relatives,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0022PE,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,RELATIONSHIP!!Population in households!!Nonrelatives,Population in households!!Nonrelatives,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0023PE,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner,RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner,Population in households!!Nonrelatives!!Unmarried partner,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
