"expo","Age8_corr","Age7_corr","Age6_corr","Age5_corr","Age4_corr","Age3_corr","Age2_corr","Age1_corr"
"DP03_0051PE",0.0499025420462903,0.00264166519593852,0.113774689444736,0.147933738378082,0.0667756144514164,-0.0125711865018768,-0.0424888420601612,-0.0475396503447089
"DP03_0052PE",0.0136420100558958,0.232943765463361,0.30799903785447,0.287149805704623,0.274686076185014,0.301931781773487,0.123936621386391,0.218453539720244
"DP03_0053PE",-0.00334623122063762,0.217815521220684,0.373248761471983,0.352356082411145,0.378630882243307,0.392180515221065,0.232217974651765,0.311035333773583
"DP03_0054PE",-0.0489023872844591,0.358351756107999,0.501577735121589,0.511404065911557,0.557224077495218,0.600358601786786,0.463638151634393,0.504036815982475
"DP03_0055PE",-0.0311904064530194,0.323168812171499,0.517284644932704,0.574432210789251,0.608612045363906,0.629112684807862,0.525913572686765,0.539702891860237
"DP03_0056PE",-0.0723339852252765,0.137056285454961,0.338825577817509,0.50948084289253,0.573700997251718,0.544090494054481,0.495902885693777,0.519415843997181
"DP03_0057PE",-0.133633900269858,0.0227191565032735,0.163654540711315,0.294801195267104,0.326176160451149,0.293303147466135,0.285287792137897,0.353745237867529
"DP03_0058PE",-0.0399880523406134,-0.0581897164357865,-0.102752509550874,-0.0934791184846757,-0.0857905653667112,-0.0976567578360928,-0.0345717168900321,-0.0343957134151644
"DP03_0059PE",-0.0018161111191003,-0.280425614969497,-0.413126810935193,-0.444796607056635,-0.458431750103824,-0.466819986505295,-0.377275343946979,-0.40884797248571
"DP03_0060PE",0.0743266388961426,-0.292961420554218,-0.46396482095566,-0.545972198273264,-0.584491016426048,-0.585091913922614,-0.481709130981057,-0.538914520748185
"DP03_0061PE",0.0879129646599121,-0.214371426267397,-0.392892203286466,-0.461815983840477,-0.508161037278078,-0.52164809616845,-0.378137658400673,-0.468179113674077
"DP03_0064PE",0.136911332636887,0.0256558525497551,-0.00525601076244292,0.013434718878737,-0.0448865125064647,-0.116386553607235,0.0206310868800389,0.0361385348080187
"DP03_0066PE",-0.195314650890763,-0.213945745318891,-0.201959981860754,-0.168286948986828,-0.051480272435541,0.0317196546210795,0.0196415346425658,-0.089437254259241
"DP03_0068PE",-0.172872989657941,-0.310450615904909,-0.38085311476679,-0.385509915970382,-0.304442144678843,-0.219563387182761,-0.22657947806091,-0.26919330628605
"DP03_0070PE",-0.0196728920600765,0.237215839202586,0.367644369689298,0.36261749055415,0.411439175856082,0.465230695338222,0.270276296524514,0.277832511735305
"DP03_0072PE",0.00624419682390597,0.210806881831282,0.395873936076233,0.434012526820827,0.472489225865137,0.512798706613714,0.36101184715015,0.398107842845752
"DP03_0074PE",-0.00206631055193494,0.370364823864294,0.515590157721501,0.562186651192964,0.591119508221477,0.633699109196865,0.465532591242516,0.518271554188218
"DP03_0075PE",-0.015646081580642,-0.0705766120485819,0.106879102312112,0.214247453733808,0.170753930342388,0.112985345671865,0.120590955904803,0.0260812092551576
"DP03_0076PE",0.0419783073418327,0.236350077279594,0.29864566886511,0.311056545570528,0.323616132616524,0.363472030392984,0.193099220426236,0.261487068637699
"DP03_0077PE",0.0138424634468099,0.218134713407273,0.397225839323898,0.381141279312882,0.40172652223243,0.407572552556703,0.288473876569233,0.328904863288423
"DP03_0078PE",0.00270506462764349,0.458634674044576,0.586447273623447,0.574451105296817,0.585990389570057,0.613741821150801,0.486775904675087,0.531682653843445
"DP03_0079PE",0.00558833509336799,0.340899840902206,0.572315338187521,0.640314758424499,0.701857090904487,0.706045328357561,0.604088162370487,0.623812575871784
"DP03_0080PE",-0.05121501052942,0.238912696688599,0.447359224277238,0.607487736560127,0.645231303111885,0.640870690417505,0.564916065368179,0.56790801418598
"DP03_0081PE",-0.135956520223469,0.0546308488628206,0.22554973572596,0.370970226349748,0.42630098075813,0.41750074744565,0.375791826064426,0.423016356110475
"DP03_0082PE",-0.0995118088743337,-0.0402443206538931,-0.059655478100474,-0.025700678079046,0.0164510112894469,0.045046026246875,0.064403623621445,0.0714807673848544
"DP03_0083PE",-0.0501084712619858,-0.316623784967573,-0.452323718625914,-0.487498357383049,-0.484905849880764,-0.481821263744688,-0.412988529579693,-0.425964801829173
"DP03_0084PE",0.0325996605260539,-0.30915188157042,-0.459774784643279,-0.562810949025356,-0.613066660684726,-0.623374089030051,-0.537840732787801,-0.56869232364256
"DP03_0085PE",0.0935721661500743,-0.20250755117666,-0.379460405418584,-0.462152214312706,-0.521194813884945,-0.548014278050427,-0.422899004910904,-0.479040798932233
"DP03_0089PE",0.1044837653983,0.078378205692917,0.0893319024680464,0.0375282133113176,-0.0603949810194472,-0.140209561267683,-0.200996447031032,-0.111208952919815
