"expo","Age8_p","Age8_s","Age7_p","Age7_s","Age6_p","Age6_s","Age5_p","Age5_s","Age4_p","Age4_s","Age3_p","Age3_s","Age2_p","Age2_s","Age1_p","Age1_s"
"DP02_0123PE",0.410420509458234,0.971230478130894,3.29037439564177e-06,0.861729153125551,1.66469969746534e-16,0.798597065090448,2.34521660232245e-19,0.77455523437065,1.2875757552785e-18,0.776083995657127,5.50421822981114e-14,0.8101863553404,1.56126770527005e-07,0.856316660463978,2.1565195810319e-14,0.726659535445933
"DP02_0124PE",0.455840288330499,1.01587845920121,0.909628082927364,1.00227005879201,0.849310771351791,1.00354084033929,0.425613850808506,0.984355327352872,0.324976141626562,0.980591335234725,0.137974318265196,0.972759144091796,0.686144658586478,0.992486801405192,0.0351624644300916,0.943071025982312
"DP02_0125PE",0.00594707286347763,0.859494928756945,7.42082120341055e-09,0.752355526866028,1.53788792075078e-12,0.730819044237161,4.03617376559734e-16,0.68881681945113,9.81052691635125e-16,0.689657795706228,1.26449684329036e-13,0.721241282695048,6.764634998285e-09,0.766275083259115,1.35652109517133e-11,0.63198513313633
"DP02_0126PE",0.167997831105577,0.79827811441375,4.18483817959671e-08,0.450623478235459,1.17374049614851e-16,0.35189001761109,5.2452289682732e-15,0.345920752840537,2.2146945015626e-11,0.389774709362205,2.82153229468417e-10,0.431491519244763,1.26106282007195e-05,0.545328574466118,1.54381384108841e-05,0.408364992343823
"DP02_0127PE",0.22884804764606,0.937627475460456,5.04837544368621e-06,0.801623992793385,2.06602657133508e-12,0.741248453314493,2.83804758317868e-16,0.698392302647564,1.00723214371132e-15,0.700367722891353,5.52008013448597e-14,0.727990955460868,6.3880953290365e-11,0.753782681187693,2.19588868398462e-15,0.606626841842796
"DP02_0128PE",0.00438906795543584,0.946745843244842,6.9750416300748e-16,0.877488466291194,2.1369857815995e-42,0.841956487550929,1.22783678933705e-51,0.824656390206942,7.17831639323568e-55,0.82106721064255,4.02394876953912e-44,0.839912277565709,2.74071643321288e-20,0.873724454764024,1.97821377631189e-19,0.82166319378307
"DP02_0129PE",0.0979185433092594,0.918676140665588,3.29929659934176e-08,0.777295070977287,1.25044994621937e-18,0.709751338859767,2.5861432868336e-21,0.680848439348241,9.32252728119781e-24,0.668223774080462,2.27761403229549e-21,0.695748635936144,5.56708889953401e-14,0.737175939893382,6.09895254714608e-10,0.681114492701893
"DP02_0130PE",0.255277748190392,0.785265642490306,6.02616177994498e-06,0.418507526141023,7.8890791861923e-12,0.31215421023969,8.15130387425512e-12,0.290161818249104,3.96112879884634e-11,0.297981432951872,1.01573904713618e-09,0.346097773461133,4.79335680343997e-07,0.407920694391039,2.09289981212118e-06,0.282972199355004
"DP02_0131PE",0.00588524222333639,0.982554343443943,3.6627998651433e-20,0.953289384195507,2.83011032892617e-44,0.943893583846824,1.86214939471423e-63,0.935036596664775,3.71156889959364e-65,0.934209607888823,7.92226108090808e-51,0.941695300566519,1.48473262843503e-26,0.951673725046279,5.11735992873582e-24,0.932435542289879
"DP02_0132PE",0.980581035583205,1.00134764362478,2.11964146015138e-05,0.807768855985444,7.9845713375259e-09,0.770061051767422,3.40649654981475e-12,0.721965467423257,3.55701275420287e-12,0.720608143357116,2.44115042961412e-11,0.74311143759872,2.17121147137431e-05,0.819485877691693,5.93478892840354e-11,0.64546737302945
