Short_name_row;Short_name_col;p_corrected;cor;abs_cor;cor_d
Civilian, all;All Households;0;0.98180160841431;0.98180160841431;p
Age 18 - 64;All Households;0;0.985389838647284;0.985389838647284;p
Female, age15-50, w child<1y;All Households;0;0.925513937681644;0.925513937681644;p
Civilian labor force;All Households;0;0.986162064519767;0.986162064519767;p
Not Hispanic/Latino;All Households;0;-0.510005448097577;0.510005448097577;n
Civilian age 19-64;All Households;0;0.986189818556533;0.986189818556533;p
C age 6-17;All Households;0;0.899828453297252;0.899828453297252;p
Heat fuel - occupied;All Households;0;1;1;p
Not labor force;All Households;0;0.933713665110034;0.933713665110034;p
Total labor force age 19-64;All Households;0;0.984442892789559;0.984442892789559;p
Non-Hispanic White;All Households;0;-0.598847186128905;0.598847186128905;n
F age>16;All Households;0;0.990073504599891;0.990073504599891;p
All bedrooms;All Households;0;0.997825617508252;0.997825617508252;p
Children, age <6;All Households;0;0.940087279081864;0.940087279081864;p
Ancestry All;All Households;0;0.98210723588378;0.98210723588378;p
Unemployed;All Households;0;0.816509524913985;0.816509524913985;p
All Housing;All Households;0;0.997825617508252;0.997825617508252;p
Gross rent;All Households;0;0.899983789786874;0.899983789786874;p
Age >65;All Households;0;0.939215942201412;0.939215942201412;p
Hispanic/Latino;All Households;0;0.510005448097621;0.510005448097621;p
Citizen, age >18;All Households;0;0.991583501032858;0.991583501032858;p
Age >16;All Households;0;0.989222622272614;0.989222622272614;p
Take public transportation to work;All Households;0;0.607217165791899;0.607217165791899;p
Civilian population;All Households;0;0.98180160841431;0.98180160841431;p
Workers, age >16;All Households;0;0.982250079958696;0.982250079958696;p
Grands care for grandkids <18;All Households;0;0.724275843176362;0.724275843176362;p
Employed people;All Households;0;0.981291552013715;0.981291552013715;p
All (hispanic/latino test);All Households;0;0.98210723588378;0.98210723588378;p
All computers/internet;All Households;0;1;1;p
Age <18;All Households;0;0.919525409774242;0.919525409774242;p
Rent/income;All Households;0;0.903415578399612;0.903415578399612;p
Civilian age <19;All Households;0;0.922412238077756;0.922412238077756;p
Grandparent w/ grandchild <18;All Households;0;0.776984166858967;0.776984166858967;p
Age >=25;All Households;0;0.990385929346662;0.990385929346662;p
1 bedroom;All Families;0;-0.554397281519918;0.554397281519918;n
Married Parents, Children <18;Family, Children <18;0;0.786096885878581;0.786096885878581;p
All Families;Married Parents;0;0.768843107402422;0.768843107402422;p
Not Latino, j Black;Married Parents;0;-0.501046677011991;0.501046677011991;n
Married Parents;Married Parents, Children <18;0;0.575626248796692;0.575626248796692;p
