Short_name;Age_adjust;Age_s
High school grad+;4.92881017142176e-42;0.604001672629189
No health insurance;1.56825644475812e-40;2.04115629613686
Employed without health insurance;7.46746897094417e-37;1.88092616768749
Employed with private health insurance;2.43970133941949e-33;0.548754160978587
Born in Latin America;2.20707412388467e-31;2.0358714531275
<9th grade education;5.34997840328088e-30;1.52657863190209
9-12th grade education;1.52343127532213e-29;2.06562280749961
Non-Hispanic White;2.09421886263204e-29;0.612427032711781
Speak Spanish;8.45315116235461e-29;1.37348577761964
With private health insurance;1.73416667863238e-28;0.598743518988187
Not labor force, no health insurance;2.1260556856259e-28;2.38330050569064
Not Hispanic/Latino;3.98481203322433e-27;0.714297136410829
Irish ancestry;5.44890000848955e-27;0.535250696254754
Only speak Spanish;5.93669290078537e-27;1.35918700176433
Not labor force, private health insurance;3.0127173206542e-26;0.535123731536167
Mexican;1.01418043671122e-25;1.37183419879564
Production/transportation/shipment employees;1.05173316464596e-25;1.95073181168323
Employed ;5.15346326568033e-23;0.609766320020097
Not living with spouse or children;4.53450201982771e-22;1.65347152278414
German ancestry;1.72415415648934e-20;0.404850841611452
